Date,Sportsbook,Sport,System,Notes,Pick,FreeBet,Amount,Odds,Result,PushAmount,bet_group,CleanedOdds,PotentialProfit,PotentialPayout,ImpliedProbability,Expected Value,ActualPayout
2023-07-19,DraftKings,Soccer,Internet,,Name the Final - USA v. England,N,$0.10,450.0,L,,,450.0,$0.45,$0.55,18.0,$0.92,$-0.10
2023-07-19,DraftKings,Soccer,Internet,,Goals Leader- Alex Morgan,N,$0.10,400.0,C,$0.01,2023 Women's World Cup Goals Leader,400.0,$0.40,$0.50,20.0,$0.92,$0.01
2023-07-19,DraftKings,Soccer,Internet,,Winner - USA,N,$0.10,250.0,L,,,250.0,$0.25,$0.35,29.0,$0.93,$-0.10
2023-07-19,DraftKings,Soccer,Internet,,Name the Final - USA v. England,N,$0.10,700.0,W,,,700.0,$0.70,$0.80,12.0,$0.91,$0.80
2023-07-19,DraftKings,Soccer,Internet,,Winner - England,N,$0.10,350.0,L	,,,350.0,$0.35,$0.45,22.0,$0.92,$0.00
2023-07-19,DraftKings,Soccer,Internet,,Winner - Spain,N,$0.10,450.0,W,,,450.0,$0.45,$0.55,18.0,$0.92,$0.55
2023-07-19,DraftKings,Soccer,Internet,,Reach Quarter Final - Zambia,N,$0.10,2000.0,L,,,2000.0,$2.00,$2.10,5.0,$0.90,$-0.10
2023-07-19,DraftKings,Soccer,Internet,,Reach Semi Final - Norway,N,$0.20,400.0,L,,,400.0,$0.80,$1.00,20.0,$0.84,$-0.20
2023-07-19,DraftKings,Soccer,Internet,,Goals Leader- Alexandra Popp,N,$0.10,900.0,L,,2023 Women's World Cup Goals Leader,900.0,$0.90,$1.00,10.0,$0.91,$-0.10
2023-07-20,DraftKings,Football,Internet,,Chiefs to lose in conference championship,N,$0.10,450.0,C,$0.11,,450.0,$0.45,$0.55,18.0,$0.92,$0.11
2023-07-20,DraftKings,Football,Internet,,NFL Champion- Jaguars,N,$0.23,2500.0,C,$0.10,2023 NFL Champion,2500.0,$5.75,$5.98,4.0,$0.78,$0.10
2023-07-20,DraftKings,Football,Internet,,NFL Champion- Falcons,N,$0.10,6000.0,C,$0.04,2023 NFL Champion,6000.0,$6.00,$6.10,2.0,$0.90,$0.04
2023-07-21,DraftKings,Football,Internet,,MVP- Tua Tagovailoa,N,$0.10,2200.0,L,,2023 NFL MVP,2200.0,$2.20,$2.30,4.0,$0.90,$-0.10
2023-07-21,DraftKings,Football,Internet,,MVP-Patrick Mahomes,N,$0.10,700.0,L,,2023 NFL MVP,700.0,$0.70,$0.80,12.0,$0.91,$-0.10
2023-07-21,DraftKings,Football,Internet,,MVP- Jalen Hurts,N,$0.10,1100.0,L,,2023 NFL MVP,1100.0,$1.10,$1.20,8.0,$0.91,$-0.10
2023-07-21,DraftKings,Football,Internet,,Offensive POY- Jamarr Chase,N,$0.10,1100.0,L,,2023 NFL OPOY,1100.0,$1.10,$1.20,8.0,$0.91,$-0.10
2023-07-21,DraftKings,Football,Internet,,Offensive POY- Justin Jefferson,N,$0.10,1300.0,L,,2023 NFL OPOY,1300.0,$1.30,$1.40,7.0,$0.91,$-0.10
2023-07-21,DraftKings,Football,Internet,,Defensive POY- Aidan Hutchinson,N,$0.11,2500.0,L,,,2500.0,$2.75,$2.86,4.0,$0.89,$-0.11
2023-07-21,DraftKings,Football,Internet,,Coach of the Year- Matt Eberflus,N,$0.10,1100.0,L,,2023 NFL Coach of the Year,1100.0,$1.10,$1.20,8.0,$0.91,$-0.10
2023-07-21,DraftKings,Football,Internet,,Passing TDs Leader- Tua,N,$0.10,1600.0,L,,2023 NFL Passing TDs Leader,1600.0,$1.60,$1.70,6.0,$0.91,$-0.10
2023-07-21,DraftKings,Football,Internet,,Passing TDs Leader- Joe Burrow,N,$0.10,450.0,L,,2023 NFL Passing TDs Leader,450.0,$0.45,$0.55,18.0,$0.92,$-0.10
2023-07-21,DraftKings,Football,Internet,,Rushing Yards Leader- Najee Harris,N,$0.10,3000.0,L,,,3000.0,$3.00,$3.10,3.0,$0.90,$-0.10
2023-07-21,DraftKings,Football,Internet,,Receiving Yards Leader- Calvin Ridley,N,$0.10,5000.0,L,,2023 NFL Rec Yds Leader,5000.0,$5.00,$5.10,2.0,$0.90,$-0.10
2023-07-21,DraftKings,Football,Internet,,Receiving Yards Leader- Justin Jefferson,N,$0.10,550.0,L,,2023 NFL Rec Yds Leader,550.0,$0.55,$0.65,15.0,$0.92,$-0.10
2023-07-21,DraftKings,Football,Internet,,Rushing TDs Leader- Damien Harris,N,$0.10,5000.0,L,,,5000.0,$5.00,$5.10,2.0,$0.90,$-0.10
2023-07-21,DraftKings,Golf,Internet,Odds boost,Top 5- Tommy Fleetwood,N,$0.10,153.0,L,,,153.0,$0.15,$0.25,40.0,$0.94,$-0.10
2023-07-21,DraftKings,Football,Internet,,Coach of the Year- Kyle Shanahan,N,$0.10,3000.0,L,,2023 NFL Coach of the Year,3000.0,$3.00,$3.10,3.0,$0.90,$-0.10
2023-07-30,DraftKings,Football,Internet,,Receiving Yards Leader- Tyreek Hill,N,$0.10,900.0,W,,2023 NFL Rec Yds Leader,900.0,$0.90,$1.00,10.0,$0.91,$1.00
2023-07-30,DraftKings,Football,Internet,,MVP-Lamar Jackson,N,$0.10,1500.0,W,,2023 NFL MVP,1500.0,$1.50,$1.60,6.0,$0.91,$1.60
2023-07-30,DraftKings,Football,Internet,,AFC North Champion- Steelers,N,$0.10,425.0,C,$0.10,,425.0,$0.43,$0.53,19.0,$0.92,$0.10
2023-07-30,DraftKings,Football,Internet,,Offensive ROY- Anthony Richardson,N,$0.10,600.0,L,,,600.0,$0.60,$0.70,14.0,$0.91,$-0.10
2023-07-30,DraftKings,Football,Internet,,Defensive POY- Micah Parsons,N,$0.10,650.0,L,,,650.0,$0.65,$0.75,13.0,$0.91,$-0.10
2023-07-30,DraftKings,Football,Internet,,NFC North Champion- Bears,N,$0.14,400.0,C,$0.02,,400.0,$0.56,$0.70,20.0,$0.89,$0.02
2023-07-30,DraftKings,Baseball,Sheehan Newsletter,,Al East Champion- Blue Jays,N,$0.10,330.0,L,,,330.0,$0.33,$0.43,23.0,$0.92,$-0.10
2023-07-30,DraftKings,Football,Internet,,Receptions Leader- Cooper Kupp,N,$0.10,500.0,L,,2023 NFL Receptions Leader,500.0,$0.50,$0.60,17.0,$0.92,$-0.10
2023-07-30,DraftKings,Baseball,Sheehan Newsletter,,Padres to make playoffs,N,$0.10,270.0,L,,,270.0,$0.27,$0.37,27.0,$0.93,$-0.10
2023-07-30,DraftKings,Football,Intuition,,NFL Champion- Chiefs,N,$0.10,600.0,C,$0.08,,600.0,$0.60,$0.70,14.0,$0.91,$0.08
2023-07-30,DraftKings,Baseball,Sheehan Newsletter,,Make Playoffs - Padres,N,$0.10,270.0,L,,,270.0,$0.27,$0.37,27.0,$0.93,$-0.10
2023-07-30,DraftKings,Football,Internet,,Receptions Leader- Amon Ra St. Brown,N,$0.10,1800.0,L,,2023 NFL Receptions Leader,1800.0,$1.80,$1.90,5.0,$0.90,$-0.10
2023-07-31,DraftKings,Basketball,Internet,,Joel Embiid MVP,N,$0.10,650.0,L,,2024 NBA MVP,650.0,$0.65,$0.75,13.0,$0.91,$-0.10
2023-07-31,DraftKings,Basketball,Internet,,Giannis MVP,N,$0.10,550.0,L,,2024 NBA MVP,550.0,$0.55,$0.65,15.0,$0.92,$-0.10
2023-07-31,DraftKings,Basketball,Internet,,Jayson Tatum MVP,N,$0.10,900.0,L,,2024 NBA MVP,900.0,$0.90,$1.00,10.0,$0.91,$-0.10
2023-07-31,DraftKings,Basketball,Internet,,Nikola Jokic MVP,N,$0.10,450.0,W,,2024 NBA MVP,450.0,$0.45,$0.55,18.0,$0.92,$0.55
2023-07-31,DraftKings,Basketball,Internet,,Cam Whitmore ROY,N,$0.10,2000.0,L	,,2024 NBA ROY,2000.0,$2.00,$2.10,5.0,$0.90,$0.00
2023-07-31,DraftKings,Basketball,Internet,,Brandon Miller ROY,N,$0.10,1200.0,L,,2024 NBA ROY,1200.0,$1.20,$1.30,8.0,$0.91,$-0.10
