Date,Sportsbook,Sport,System,Notes,Pick,FreeBet,Amount,Odds,Result,PushAmount,bet_group,CleanedOdds,PotentialProfit,PotentialPayout,ImpliedProbability,Expected Value,ActualPayout
2023-07-19,DraftKings,Soccer,Internet,,Name the Final - USA v. England,N,0.1,450.0,L,,,450.0,0.45,0.55,18.0,0.92,-0.1
2023-07-19,DraftKings,Soccer,Internet,,Goals Leader- Alex Morgan,N,0.1,400.0,C,0.01,2023 Women's World Cup Goals Leader,400.0,0.4,0.5,20.0,0.92,0.01
2023-07-19,DraftKings,Soccer,Internet,,Winner - USA,N,0.1,250.0,L,,,250.0,0.25,0.35,29.0,0.93,-0.1
2023-07-19,DraftKings,Soccer,Internet,,Name the Final - USA v. England,N,0.1,700.0,W,,,700.0,0.7,0.8,12.0,0.91,0.8
2023-07-19,DraftKings,Soccer,Internet,,Winner - England,N,0.1,350.0,L	,,,350.0,0.35,0.45,22.0,0.92,0.0
2023-07-19,DraftKings,Soccer,Internet,,Winner - Spain,N,0.1,450.0,W,,,450.0,0.45,0.55,18.0,0.92,0.55
2023-07-19,DraftKings,Soccer,Internet,,Reach Quarter Final - Zambia,N,0.1,2000.0,L,,,2000.0,2.0,2.1,5.0,0.9,-0.1
2023-07-19,DraftKings,Soccer,Internet,,Reach Semi Final - Norway,N,0.2,400.0,L,,,400.0,0.8,1.0,20.0,0.84,-0.2
2023-07-19,DraftKings,Soccer,Internet,,Goals Leader- Alexandra Popp,N,0.1,900.0,L,,2023 Women's World Cup Goals Leader,900.0,0.9,1.0,10.0,0.91,-0.1
2023-07-20,DraftKings,Football,Internet,,Chiefs to lose in conference championship,N,0.1,450.0,C,0.11,,450.0,0.45,0.55,18.0,0.92,0.11
2023-07-20,DraftKings,Football,Internet,,NFL Champion- Jaguars,N,0.23,2500.0,C,0.1,2023 NFL Champion,2500.0,5.75,5.98,4.0,0.78,0.1
2023-07-20,DraftKings,Football,Internet,,NFL Champion- Falcons,N,0.1,6000.0,C,0.04,2023 NFL Champion,6000.0,6.0,6.1,2.0,0.9,0.04
2023-07-21,DraftKings,Football,Internet,,MVP- Tua Tagovailoa,N,0.1,2200.0,L,,2023 NFL MVP,2200.0,2.2,2.3,4.0,0.9,-0.1
2023-07-21,DraftKings,Football,Internet,,MVP-Patrick Mahomes,N,0.1,700.0,L,,2023 NFL MVP,700.0,0.7,0.8,12.0,0.91,-0.1
2023-07-21,DraftKings,Football,Internet,,MVP- Jalen Hurts,N,0.1,1100.0,L,,2023 NFL MVP,1100.0,1.1,1.2,8.0,0.91,-0.1
2023-07-21,DraftKings,Football,Internet,,Offensive POY- Jamarr Chase,N,0.1,1100.0,L,,2023 NFL OPOY,1100.0,1.1,1.2,8.0,0.91,-0.1
2023-07-21,DraftKings,Football,Internet,,Offensive POY- Justin Jefferson,N,0.1,1300.0,L,,2023 NFL OPOY,1300.0,1.3,1.4,7.0,0.91,-0.1
2023-07-21,DraftKings,Football,Internet,,Defensive POY- Aidan Hutchinson,N,0.11,2500.0,L,,,2500.0,2.75,2.86,4.0,0.89,-0.11
2023-07-21,DraftKings,Football,Internet,,Coach of the Year- Matt Eberflus,N,0.1,1100.0,L,,2023 NFL Coach of the Year,1100.0,1.1,1.2,8.0,0.91,-0.1
2023-07-21,DraftKings,Football,Internet,,Passing TDs Leader- Tua,N,0.1,1600.0,L,,2023 NFL Passing TDs Leader,1600.0,1.6,1.7,6.0,0.91,-0.1
2023-07-21,DraftKings,Football,Internet,,Passing TDs Leader- Joe Burrow,N,0.1,450.0,L,,2023 NFL Passing TDs Leader,450.0,0.45,0.55,18.0,0.92,-0.1
2023-07-21,DraftKings,Football,Internet,,Rushing Yards Leader- Najee Harris,N,0.1,3000.0,L,,,3000.0,3.0,3.1,3.0,0.9,-0.1
2023-07-21,DraftKings,Football,Internet,,Receiving Yards Leader- Calvin Ridley,N,0.1,5000.0,L,,2023 NFL Rec Yds Leader,5000.0,5.0,5.1,2.0,0.9,-0.1
2023-07-21,DraftKings,Football,Internet,,Receiving Yards Leader- Justin Jefferson,N,0.1,550.0,L,,2023 NFL Rec Yds Leader,550.0,0.55,0.65,15.0,0.92,-0.1
2023-07-21,DraftKings,Football,Internet,,Rushing TDs Leader- Damien Harris,N,0.1,5000.0,L,,,5000.0,5.0,5.1,2.0,0.9,-0.1
2023-07-21,DraftKings,Golf,Internet,Odds boost,Top 5- Tommy Fleetwood,N,0.1,153.0,L,,,153.0,0.15,0.25,40.0,0.94,-0.1
2023-07-21,DraftKings,Football,Internet,,Coach of the Year- Kyle Shanahan,N,0.1,3000.0,L,,2023 NFL Coach of the Year,3000.0,3.0,3.1,3.0,0.9,-0.1
2023-07-30,DraftKings,Football,Internet,,Receiving Yards Leader- Tyreek Hill,N,0.1,900.0,W,,2023 NFL Rec Yds Leader,900.0,0.9,1.0,10.0,0.91,1.0
2023-07-30,DraftKings,Football,Internet,,MVP-Lamar Jackson,N,0.1,1500.0,W,,2023 NFL MVP,1500.0,1.5,1.6,6.0,0.91,1.6
2023-07-30,DraftKings,Football,Internet,,AFC North Champion- Steelers,N,0.1,425.0,C,0.1,,425.0,0.43,0.53,19.0,0.92,0.1
2023-07-30,DraftKings,Football,Internet,,Offensive ROY- Anthony Richardson,N,0.1,600.0,L,,,600.0,0.6,0.7,14.0,0.91,-0.1
2023-07-30,DraftKings,Football,Internet,,Defensive POY- Micah Parsons,N,0.1,650.0,L,,,650.0,0.65,0.75,13.0,0.91,-0.1
2023-07-30,DraftKings,Football,Internet,,NFC North Champion- Bears,N,0.14,400.0,C,0.02,,400.0,0.56,0.7,20.0,0.89,0.02
2023-07-30,DraftKings,Baseball,Sheehan Newsletter,,Al East Champion- Blue Jays,N,0.1,330.0,L,,,330.0,0.33,0.43,23.0,0.92,-0.1
2023-07-30,DraftKings,Football,Internet,,Receptions Leader- Cooper Kupp,N,0.1,500.0,L,,2023 NFL Receptions Leader,500.0,0.5,0.6,17.0,0.92,-0.1
2023-07-30,DraftKings,Baseball,Sheehan Newsletter,,Padres to make playoffs,N,0.1,270.0,L,,,270.0,0.27,0.37,27.0,0.93,-0.1
2023-07-30,DraftKings,Football,Intuition,,NFL Champion- Chiefs,N,0.1,600.0,C,0.08,,600.0,0.6,0.7,14.0,0.91,0.08
2023-07-30,DraftKings,Baseball,Sheehan Newsletter,,Make Playoffs - Padres,N,0.1,270.0,L,,,270.0,0.27,0.37,27.0,0.93,-0.1
2023-07-30,DraftKings,Football,Internet,,Receptions Leader- Amon Ra St. Brown,N,0.1,1800.0,L,,2023 NFL Receptions Leader,1800.0,1.8,1.9,5.0,0.9,-0.1
2023-07-31,DraftKings,Basketball,Internet,,Joel Embiid MVP,N,0.1,650.0,L,,2024 NBA MVP,650.0,0.65,0.75,13.0,0.91,-0.1
2023-07-31,DraftKings,Basketball,Internet,,Giannis MVP,N,0.1,550.0,L,,2024 NBA MVP,550.0,0.55,0.65,15.0,0.92,-0.1
2023-07-31,DraftKings,Basketball,Internet,,Jayson Tatum MVP,N,0.1,900.0,L,,2024 NBA MVP,900.0,0.9,1.0,10.0,0.91,-0.1
2023-07-31,DraftKings,Basketball,Internet,,Nikola Jokic MVP,N,0.1,450.0,W,,2024 NBA MVP,450.0,0.45,0.55,18.0,0.92,0.55
2023-07-31,DraftKings,Basketball,Internet,,Cam Whitmore ROY,N,0.1,2000.0,L	,,2024 NBA ROY,2000.0,2.0,2.1,5.0,0.9,0.0
2023-07-31,DraftKings,Basketball,Internet,,Brandon Miller ROY,N,0.1,1200.0,L,,2024 NBA ROY,1200.0,1.2,1.3,8.0,0.91,-0.1
2023-07-31,DraftKings,Basketball,Internet,,Scoot Henderson ROY,N,0.1,400.0,L,,2024 NBA ROY,400.0,0.4,0.5,20.0,0.92,-0.1
2023-07-31,DraftKings,Basketball,Internet,,Chet Holmgren ROY,N,0.1,350.0,L,,2024 NBA ROY,350.0,0.35,0.45,22.0,0.92,-0.1
2023-08-05,DraftKings,Football,Internet,,Comeback Player- Russell Wilson,N,0.1,2000.0,L,,2023 NFL Comeback Player of the Year,2000.0,2.0,2.1,5.0,0.9,-0.1
2023-08-05,DraftKings,Football,Internet,,Comeback Player- Lamar Jackson,N,0.1,2500.0,L,,2023 NFL Comeback Player of the Year,2500.0,2.5,2.6,4.0,0.9,-0.1
2023-08-05,DraftKings,Soccer,Internet,Odds boost,To Qualify - USA,N,0.1,100.0,L,,,100.0,0.1,0.2,50.0,0.95,-0.1
2023-08-05,DraftKings,Football,Internet,,Rookies Receving Yards Leader- Rashee Rice,N,0.1,190.0,L,,2023 NFL Rookie Rec Yds Leader,190.0,0.19,0.29,34.0,0.93,-0.1
2023-08-05,DraftKings,Golf,Intuition,Odds boost,Top 5- Billy Horschel,N,0.1,102.0,W,,,102.0,0.1,0.2,50.0,0.95,0.2
2023-08-06,DraftKings,Football,Internet,,Rookies Receving Yards Leader- Jordan Addison,N,0.1,300.0,L,,2023 NFL Rookie Rec Yds Leader,300.0,0.3,0.4,25.0,0.92,-0.1
2023-08-06,DraftKings,Football,Internet,,Rookies Receving Yards Leader- Jahmyr Gibbs,N,0.1,3500.0,L,,2023 NFL Rookie Rec Yds Leader,3500.0,3.5,3.6,3.0,0.9,-0.1
2023-08-06,DraftKings,Football,Internet,,Rookies Receving Yards Leader- Quentin Johnston,N,0.1,350.0,L,,2023 NFL Rookie Rec Yds Leader,350.0,0.35,0.45,22.0,0.92,-0.1
2023-08-07,DraftKings,Golf,Positive odds,,Top 10 - Viktor Hovland,N,0.1,190.0,L,,2023 PGA Fedex St. Jude Top 10,190.0,0.19,0.29,34.0,0.93,-0.1
2023-08-07,DraftKings,Golf,Positive odds,,Top 10 - Jon Rahm,N,0.1,-105.0,L,,2023 PGA Fedex St. Jude Top 10,105.0,0.1,0.2,51.0,0.95,-0.1
2023-08-07,DraftKings,Golf,Positive odds,,Top 10 - Rickie Fowler,N,0.1,260.0,L,,2023 PGA Fedex St. Jude Top 10,260.0,0.26,0.36,28.0,0.93,-0.1
2023-08-07,DraftKings,Golf,Golf magazine system,,Top 10 - Tony Finau,N,0.1,280.0,L,,2023 PGA Fedex St. Jude Top 10,280.0,0.28,0.38,26.0,0.93,-0.1
2023-08-07,DraftKings,Golf,Golf magazine system,,Winner - Sam Burns,N,0.1,3500.0,L,,2023 PGA Fedex St. Jude Champion,3500.0,3.5,3.6,3.0,0.9,-0.1
2023-08-07,DraftKings,Golf,Golf magazine system,,Winner - Tony Finau,N,0.1,3000.0,L,,2023 PGA Fedex St. Jude Champion,3000.0,3.0,3.1,3.0,0.9,-0.1
2023-08-07,DraftKings,Golf,Positive odds,,Top 10 - Collin Morikawa,N,0.1,220.0,L,,2023 PGA Fedex St. Jude Top 10,220.0,0.22,0.32,31.0,0.93,-0.1
2023-08-07,DraftKings,Golf,Positive odds,,Top 10 - Cameron Young,N,0.1,330.0,L,,2023 PGA Fedex St. Jude Top 10,330.0,0.33,0.43,23.0,0.92,-0.1
2023-08-07,DraftKings,Golf,Positive odds,,Top 20 - Cameron Young,N,0.1,130.0,L,,2023 PGA Fedex St. Jude Top 20,130.0,0.13,0.23,43.0,0.94,-0.1
2023-08-07,DraftKings,Golf,Positive odds,,Top 20 - Rickie Fowler,N,0.1,105.0,L,,2023 PGA Fedex St. Jude Top 20,105.0,0.11,0.21,49.0,0.95,-0.1
2023-08-07,DraftKings,Golf,Golf magazine system,,Top 10 - Tommy Fleetwood,N,0.1,230.0,W,,2023 PGA Fedex St. Jude Top 10,230.0,0.23,0.33,30.0,0.93,0.33
2023-08-07,DraftKings,Golf,Positive odds,,Top 20 - Tony Finau,N,0.1,110.0,L,,2023 PGA Fedex St. Jude Top 20,110.0,0.11,0.21,48.0,0.95,-0.1
2023-08-07,DraftKings,Golf,Internet,,Winner - Scottie Scheffler,N,0.1,600.0,C,0.01,2023 PGA Fedex St. Jude Champion,600.0,0.6,0.7,14.0,0.91,0.01
2023-08-07,DraftKings,Golf,Positive odds,Odds boost,Top 10 - Tom Kim,N,0.1,107.0,L,,2023 PGA Fedex St. Jude Top 10,107.0,0.11,0.21,48.0,0.95,-0.1
2023-08-07,DraftKings,Golf,Golf magazine system,,Winner - Collin Morikawa,N,0.1,2500.0,C,0.02,2023 PGA Fedex St. Jude Champion,2500.0,2.5,2.6,4.0,0.9,0.02
2023-08-07,DraftKings,Golf,Positive odds,,Top 5- Scottie Scheffler,N,0.1,140.0,L,,,140.0,0.14,0.24,42.0,0.94,-0.1
2023-08-24,DraftKings,College Football,Internet,23% Boost,Oregon to make CFP,N,0.1,676.0,C,0.13,,676.0,0.68,0.78,13.0,0.91,0.13
