,Date,Sport,System,Notes,Pick,BetType,FreeBet,Amount,Odds,Result,PushAmount,Group,CleanedOdds,PotentialProfit,PotentialPayout,ImpliedProbability,Expected Value,ActualPayout,TotalAfterRepay,MuneersCut,BrittsCut
37,2023-11-10,Football,GameDay Math	,,Giants +7,Spread,Y,1.0,105.0,W,,,105.0,1.05,1.05,49.0,0.49,1.05,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
38,2023-11-10,Football,Intuition,,Broncos,Moneyline,Y,1.0,275.0,W,,,275.0,2.75,2.75,27.0,0.27,2.75,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
39,2023-11-11,Basketball,ParlayIQ,,Steph Curry over 4.5 rebounds,Prop,Y,1.0,110.0,L,,,110.0,1.1,1.1,48.0,0.48,0.0,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
40,2023-11-11,Basketball,ParlayIQ,,Darius Garland over 3.5 assists,Prop,Y,1.0,-105.0,W,,,105.0,0.95,0.95,51.0,0.51,0.95,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
41,2023-11-11,Basketball,ParlayIQ,,Jalen Suggs over 2.5 assists,Prop,Y,1.0,130.0,L,,,130.0,1.3,1.3,43.0,0.43,0.0,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
42,2023-11-30,Football,Outlier,,Boye Mafe over 0.25 sacks,Prop,Y,1.0,195.0,P,,,195.0,1.95,1.95,34.0,0.34,0.0,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
43,2023-11-30,Football,Outlier,,Mike Evans- score TD,Prop,Y,1.0,150.0,P,,,150.0,1.5,1.5,40.0,0.4,0.0,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
44,2023-11-30,Football,Outlier,,Kenny Pickett under 0.5 TDs,Prop,Y,0.5,190.0,P,,,190.0,0.95,0.95,34.0,0.67,0.0,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
45,2023-11-30,Football,Outlier,,Ji'Aiyir Brown under 4.5 tackles and assists,Prop,Y,1.0,115.0,P,,,115.0,1.15,1.15,47.0,0.47,0.0,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
46,2023-11-30,Football,Outlier,,George Karlaftis over 0.25 sacks,Prop,Y,1.0,110.0,P,,,110.0,1.1,1.1,48.0,0.48,0.0,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
47,2023-11-30,Football,Outlier,,Jordan Whitehead over 3.5 tackles,Prop,Y,1.0,125.0,P,,,125.0,1.25,1.25,44.0,0.44,0.0,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
48,2023-11-30,Football,Outlier,,Quincy Williams over 4.5 tackles,Prop,Y,1.0,110.0,P,,,110.0,1.1,1.1,48.0,0.48,0.0,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
49,2023-11-30,Football,Outlier,,Tua over 0.5 passing INTs,Prop,Y,1.0,105.0,P,,,105.0,1.05,1.05,49.0,0.49,0.0,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
50,2023-11-30,Basketball,CNM,,UC Davis,Moneyline,Y,1.0,125.0,P,,,125.0,1.25,1.25,44.0,0.44,0.0,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
51,2023-11-30,Football,CNM,,Jreed Goff over 35.5 pass attempts,Prop,Y,1.0,-110.0,P,,,110.0,0.91,0.91,52.0,0.52,0.0,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
52,2023-11-30,CNM,CNM,,Rashee Rice over 4.5 rec,Prop,Y,1.0,-115.0,P,,,115.0,0.87,0.87,53.0,0.53,0.0,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
53,,,,,,,,0.0,0.0,,,,0.0,,,0.0,0.0,,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
54,,,,,,,,0.0,0.0,,,,0.0,,,0.0,0.0,,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
55,,,,,,,,0.0,0.0,,,,0.0,,,0.0,0.0,,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
56,,,,,,,,0.0,0.0,,,,0.0,,,0.0,0.0,,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
57,,,,,,,,0.0,0.0,,,,0.0,,,0.0,0.0,,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
58,,,,,,,,0.0,0.0,,,,0.0,,,0.0,0.0,,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
59,,,,,,,,0.0,0.0,,,,0.0,,,0.0,0.0,,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
60,,,,,,,,0.0,0.0,,,,0.0,,,0.0,0.0,,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
61,,,,,,,,0.0,0.0,,,,0.0,,,0.0,0.0,,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
62,,,,,,,,0.0,0.0,,,,0.0,,,0.0,0.0,,-1.490000000000001,-0.8940000000000007,-0.5960000000000004
,,,,,,,,,
